index,Year,Country Code,GDP,Population,Urban Population,Ecological Footprint,Biocapacity,Temperature,Precipitation,CO2,CH4,Water Vapor,Aerosol
87,2023,124,1735498764780,38557000,81.9,315802410.79624900,546199872.9157360,272.9263666,2.47E-05,0.0004245920312,1.95E-06,11.26374339,0.06195991095
88,2023,203,225269313796,10628000,74.6,60818072.23053440,25553787.38825880,281.5305929,2.4E-05,0.000424594548,1.95E-06,14.90048194,0.0950623291
89,2023,208,353978119471,5866000,88.5,40654735.64242030,22672640.133383600,276.9089979,3.65E-05,0.0004245906259,1.95E-06,11.86045006,0.06740835005
90,2023,246,265384848524,5635000,85.8,33623207.729016600,67332046.72435190,274.9487377,2.7E-05,0.000424591502,1.95E-06,11.24954335,0.08371669727
91,2023,250,2684885668122,66405000,81.8,295489378.42695900,160225128.31580800,284.1508666,3.3E-05,0.000424595289,1.95E-06,16.52697722,0.0929988989
92,2023,276,3746094062385,82557000,77.8,388543161.0990710,122910621.53732500,281.9476211,2.97E-05,0.0004245906925,1.95E-06,15.06430667,0.09399510968
93,2023,300,210427479107,11012000,80.7,43681042.66722060,13054398.835203900,287.1807425,2.82E-05,0.0004245986238,1.95E-06,17.32471151,0.1501739966
94,2023,348,159484684245,9515000,72.9,36698360.18405760,26616102.957712300,280.9576203,2.94E-05,0.0004245945815,1.95E-06,14.78630813,0.1009183555
96,2023,372,432954893719,4997000,64.5,26361831.29542420,14881495.11353050,283.498736,3.87E-05,0.0004245928495,1.95E-06,15.45093039,0.1014737332
97,2023,380,1931788460629,58833000,72.0,267619971.2966440,50563732.92609010,284.4194428,3.71E-05,0.0004245937934,1.95E-06,15.99591851,0.09369333469
98,2023,392,4623373200267,125259000,92.0,615637163.7912540,73079546.46413520,283.0457276,4.42E-05,0.0004245988329,1.95E-06,18.49590405,0.2141472808
99,2023,410,1781043181868,51959000,81.5,348310293.2487450,32890831.596133200,284.6666761,2.81E-05,0.000424602418,1.95E-06,17.68646284,0.3044954257
100,2023,442,75150531236,627000,92.1,7842047.37371985,706560.6558454370,283.5318845,3.16E-05,0.0004245933613,1.95E-06,16.37859336,0.09716294623
101,2023,484,1305931729746,138323000,81.6,323411283.0959610,146462908.95077900,295.7411699,3.54E-05,0.000424594625,1.95E-06,30.54126621,0.08554797337
102,2023,528,876367706456,17325000,93.2,109242519.16852600,13274235.7668104,282.4621138,3.04E-05,0.0004245930256,1.95E-06,15.43909078,0.1009614585
103,2023,554,227825902558,4955000,87.0,25945770.169775600,41674225.24434920,287.2324289,3.61E-05,0.0004245954701,1.95E-06,18.1335475,0.09525387509
104,2023,578,439686599270,5604000,84.0,30769703.564341300,37046447.553350600,276.136283,2.92E-05,0.000424591949,1.95E-06,11.01442823,0.08424135132
105,2023,616,621007387295,37627000,60.2,182787544.9220780,76780758.52758320,280.4656588,2.52E-05,0.0004245906168,1.95E-06,14.12047053,0.08637432521
106,2023,620,230398898603,10114000,67.9,49469285.37230350,13585852.762891300,287.6265597,5.06E-05,0.0004245949475,1.95E-06,19.76248362,0.1045166761
108,2023,724,1363452999855,46387000,81.6,257750568.5809060,70678091.95794400,287.282959,4.1E-05,0.0004245959741,1.95E-06,19.00581027,0.0931065735
109,2023,752,584365105535,10315000,88.7,60060982.545388400,90684749.12548560,276.1804655,2.83E-05,0.0004245908102,1.95E-06,11.21389958,0.07250842856
110,2023,756,796185019870,8846000,74.2,37820354.58036410,8618652.20321938,294.029398,2.45E-05,0.0004245868549,1.95E-06,24.78401778,0.1690740053
111,2023,792,1169346244083,85404000,77.5,298775517.6508230,110469366.60872200,285.2504151,2.97E-05,0.0004245968611,1.95E-06,15.3562625,0.157747169
112,2023,826,3306273335479,68405000,84.6,272825966.68132800,71083129.06103800,283.2804772,3.44E-05,0.0004245930789,1.95E-06,15.40805307,0.09821110026
113,2023,840,21747914508812,338524000,83.3,2885705453.2125300,1127134344.0993400,285.9064368,3.82E-05,0.0004245933045,1.95E-06,19.3254205,0.07208835483
114,2023,32,581763680201,46707000,92.5,152879655.95104100,291528277.68151400,287.8074596,2.93E-05,0.0004245929264,1.95E-06,17.37712731,0.07918700538
115,2023,76,1914931528740,217937000,87.8,579700558.9052160,1791609014.9516200,297.2573522,5.47E-05,0.0004245955475,1.95E-06,38.31164529,0.1062792061
116,2023,152,285077084718,18859000,88.0,85000511.02222810,63224873.11825700,286.1844742,3.25E-05,0.0004245933625,1.95E-06,14.28047982,0.07259448534
117,2023,156,17603172533183,1434676000,64.6,6834219177.528890,1412754565.5790400,281.5557235,2.57E-05,0.0004245951361,1.95E-06,15.56995591,0.2462327867
118,2023,170,343329802238,51244000,82.4,97045351.49190020,169480921.6168960,299.7559942,8.52E-05,0.0004245969815,1.95E-06,48.13877913,0.1142222799
119,2023,356,3235543252514,1425158000,36.4,1884911791.2165900,622222582.0093490,291.7427052,2.23E-05,0.0004245901206,1.95E-06,23.48178751,0.4049070031
120,2023,360,1219200094247,279934000,58.6,521770014.1988160,341484925.520258,301.2928826,8.74E-05,0.0004245945522,1.95E-06,54.71106121,0.1176146352
121,2023,376,373646241387,9096000,92.9,42419175.16356970,1707663.2921776100,294.0066189,1.49E-05,0.000141545422,6.49E-07,17.89229979,0.1934435107
122,2023,682,805162296752,36311000,85.0,179015485.1095540,14173128.480766900,299.7303197,4.37E-06,0.000424594749,1.95E-06,16.27962726,0.2889116961
123,2023,710,371698762354,60611000,68.8,231081282.21918600,57797426.918987200,294.7069182,1.95E-05,0.0004245947967,1.95E-06,19.73044071,0.1177628347
124,2023,100,63587882889,6794000,76.7,26274035.447516500,23428652.545231200,284.1222466,2.87E-05,0.0004245976383,1.95E-06,16.94172278,0.1190235152
125,2023,642,241361314149,19110000,54.7,79508656.46840310,66134465.59950880,281.8401669,3.3E-05,0.0004245955631,1.95E-06,15.68572063,0.1081833967
126,2024,36,1674265222110,26573000,86.8,191071870.0164010,294447258.5773710,295.7642942,1.32E-05,0.0004275481901,1.96E-06,22.1134409,0.0966666674
127,2024,40,432115945943,8861000,59.8,57603767.452990700,23318682.291220000,283.0026693,2.62E-05,0.0004275538216,1.96E-06,16.17058336,0.1100663745
128,2024,56,515505316558,11784000,98.2,84841180.32461670,8880833.343764690,284.2709354,2.89E-05,0.0004275484045,1.96E-06,17.24189176,0.1075283069
